# Simpul grid 0,25° yang selnya menyentuh kelurahan/desa provinsi 32, untuk cuaca dan kualitas udara Open-Meteo.
# Dibuat `make grid-list` dari cahyadsn/wilayah_boundaries@3c5a7960f4d2; jangan diedit manual.
# 70 titik
-7.75,107.75
-7.75,108.00
-7.75,108.25
-7.75,108.50
-7.75,108.75
-7.50,106.50
-7.50,106.75
-7.50,107.00
-7.50,107.25
-7.50,107.50
-7.50,107.75
-7.50,108.00
-7.50,108.25
-7.50,108.50
-7.50,108.75
-7.25,106.25
-7.25,106.50
-7.25,106.75
-7.25,107.00
-7.25,107.25
-7.25,107.50
-7.25,107.75
-7.25,108.00
-7.25,108.25
-7.25,108.50
-7.25,108.75
-7.00,106.50
-7.00,106.75
-7.00,107.00
-7.00,107.25
-7.00,107.50
-7.00,107.75
-7.00,108.00
-7.00,108.25
-7.00,108.50
-7.00,108.75
-6.75,106.50
-6.75,106.75
-6.75,107.00
-6.75,107.25
-6.75,107.50
-6.75,107.75
-6.75,108.00
-6.75,108.25
-6.75,108.50
-6.75,108.75
-6.50,106.50
-6.50,106.75
-6.50,107.00
-6.50,107.25
-6.50,107.50
-6.50,107.75
-6.50,108.00
-6.50,108.25
-6.50,108.50
-6.25,106.50
-6.25,106.75
-6.25,107.00
-6.25,107.25
-6.25,107.50
-6.25,107.75
-6.25,108.00
-6.25,108.25
-6.25,108.50
-6.00,107.00
-6.00,107.25
-6.00,107.50
-6.00,108.25
-6.00,108.50
-5.75,108.50
